Experiment_id,condition_label,initial_pH,DO_setpoint,initial_glucose_g_l,AFR_setpoint,antifoam_used,antifoam_absent,antifoam_present,initial_od,initial_biomass_g_l,initial_glucose_mol_l,initial_volume_l,temperature_setpoint_c
AMBR1_13,pH8.5_DO100_G10_AFR100,8.5,100.0,10,100.0,0,1,0,0.1,0.04267000000000001,0.055507449099669176,0.2,30
AMBR1_14,pH8_DO100_G10_AFR100,8.0,100.0,10,100.0,0,1,0,0.1,0.04267000000000001,0.055507449099669176,0.2,30
AMBR1_15,pH7.5_DO100_G10_AFR100,7.5,100.0,10,100.0,0,1,0,0.1,0.04267000000000001,0.055507449099669176,0.2,30
AMBR1_16,pH7_DO100_G10_AFR100,7.0,100.0,10,100.0,0,1,0,0.1,0.04267000000000001,0.055507449099669176,0.2,30
AMBR1_17,pH6.5_DO100_G10_AFR100,6.5,100.0,10,100.0,0,1,0,0.1,0.04267000000000001,0.055507449099669176,0.2,30
AMBR1_18,pH6_DO100_G10_AFR100,6.0,100.0,10,100.0,0,1,0,0.1,0.04267000000000001,0.055507449099669176,0.2,30
AMBR1_19,pH5.5_DO100_G10_AFR100,5.5,100.0,10,100.0,0,1,0,0.1,0.04267000000000001,0.055507449099669176,0.2,30
AMBR1_20,pHNA_DO0_G10_AFR100,,0.0,10,100.0,0,1,0,0.1,0.04267000000000001,0.055507449099669176,0.2,30
AMBR1_21,pH7.5_DO80_G10_AFR100,7.5,80.0,10,100.0,0,1,0,0.1,0.04267000000000001,0.055507449099669176,0.2,30
AMBR1_22,pH7.5_DO60_G10_AFR100,7.5,60.0,10,100.0,0,1,0,0.1,0.04267000000000001,0.055507449099669176,0.2,30
AMBR1_23,pH7.5_DO40_G10_AFR100,7.5,40.0,10,100.0,0,1,0,0.1,0.04267000000000001,0.055507449099669176,0.2,30
AMBR1_24,pH7.5_DO20_G10_AFR100,7.5,20.0,10,100.0,0,1,0,0.1,0.04267000000000001,0.055507449099669176,0.2,30
AMBR2_5,pH6.5_DO100_G10_AFR100,6.5,100.0,10,100.0,1,0,1,0.1,0.04267000000000001,0.055507449099669176,0.2,30
AMBR2_6,pH7.5_DO100_G10_AFR100,7.5,100.0,10,100.0,1,0,1,0.1,0.04267000000000001,0.055507449099669176,0.2,30
AMBR2_7,pH6.5_DO20_G10_AFR100,6.5,20.0,10,100.0,1,0,1,0.1,0.04267000000000001,0.055507449099669176,0.2,30
AMBR2_8,pH7.5_DO20_G10_AFR100,7.5,20.0,10,100.0,1,0,1,0.1,0.04267000000000001,0.055507449099669176,0.2,30
AMBR2_9,pH6.3_DO20_G20_AFR100,6.3,20.0,20,100.0,1,0,1,0.1,0.04267000000000001,0.11101489819933835,0.2,30
AMBR2_10,pH6.3_DO20_G20_AFR100,6.3,20.0,20,100.0,1,0,1,0.1,0.04267000000000001,0.11101489819933835,0.2,30
AMBR2_11,pH6.5_DO20_G4_AFR100,6.5,20.0,4,100.0,1,0,1,0.1,0.04267000000000001,0.02220297963986767,0.2,30
AMBR2_12,pH7.5_DO20_G4_AFR100,7.5,20.0,4,100.0,1,0,1,0.1,0.04267000000000001,0.02220297963986767,0.2,30
AMBR2_13,pH6.5_DO20_G7_AFR100,6.5,20.0,7,100.0,1,0,1,0.1,0.04267000000000001,0.03885521436976842,0.2,30
AMBR2_14,pH7.5_DO20_G7_AFR100,7.5,20.0,7,100.0,1,0,1,0.1,0.04267000000000001,0.03885521436976842,0.2,30
AMBR2_15,pH6.5_DO5_G10_AFR100,6.5,5.0,10,100.0,1,0,1,0.1,0.04267000000000001,0.055507449099669176,0.2,30
AMBR2_16,pH7.5_DO5_G10_AFR100,7.5,5.0,10,100.0,1,0,1,0.1,0.04267000000000001,0.055507449099669176,0.2,30
AMBR2_17,pH6.5_DO0_G10_AFR0,6.5,0.0,10,0.0,1,0,1,1.1,0.46937000000000006,0.055507449099669176,0.2,30
AMBR2_18,pH7.5_DO0_G10_AFR0,7.5,0.0,10,0.0,1,0,1,2.1,0.89607,0.055507449099669176,0.2,30
AMBR2_19,pH7.3_DO0_G10_AFR60,7.3,0.0,10,60.0,1,0,1,3.1,1.32277,0.055507449099669176,0.2,30
AMBR2_20,pH7.3_DO0_G10_AFR40,7.3,0.0,10,40.0,1,0,1,4.1,1.7494699999999999,0.055507449099669176,0.2,30
AMBR2_21,pH7.3_DO0_G10_AFR20,7.3,0.0,10,20.0,1,0,1,5.1,2.17617,0.055507449099669176,0.2,30
AMBR2_22,pH7.3_DO0_G10_AFR10,7.3,0.0,10,10.0,1,0,1,6.1,2.60287,0.055507449099669176,0.2,30
AMBR2_23,pH7.3_DO0_G10_AFR5,7.3,0.0,10,5.0,1,0,1,7.1,3.02957,0.055507449099669176,0.2,30
AMBR2_24,pH7.5_DO0_G10_AFR0,7.5,0.0,10,0.0,1,0,1,8.1,3.45627,0.055507449099669176,0.2,30
