Experiment_id,condition_label,initial_pH,pH_n,pH_min,pH_median,pH_mean,pH_max,min_minus_initial,median_minus_initial,max_minus_initial,range_width,max_abs_deviation
AMBR1_13,pH8.5_DO100_G10_AFR100,8.5,502,8.46414078778375,8.47833260711181,8.50281271219929,8.59902372110058,-0.035859212216250214,-0.021667392888190307,0.09902372110058089,0.1348829333168311,0.09902372110058089
AMBR1_14,pH8_DO100_G10_AFR100,8.0,501,7.97131798058789,8.0841248402661,8.043537696746736,8.09995529432825,-0.028682019412110016,0.08412484026609945,0.09995529432825023,0.12863731374036025,0.09995529432825023
AMBR1_15,pH7.5_DO100_G10_AFR100,7.5,501,7.47136084318358,7.5731457148545,7.545557217318352,7.60029259268607,-0.028639156816420375,0.07314571485450028,0.1002925926860696,0.12893174950248998,0.1002925926860696
AMBR1_16,pH7_DO100_G10_AFR100,7.0,501,6.96987998494956,7.06629435308171,7.032959156327581,7.10009977683095,-0.030120015050440152,0.06629435308170972,0.10009977683094995,0.1302197918813901,0.10009977683094995
AMBR1_17,pH6.5_DO100_G10_AFR100,6.5,501,6.46999746976075,6.55893536659155,6.5342773324443195,6.6009077372335,-0.03000253023925037,0.058935366591549965,0.10090773723350033,0.1309102674727507,0.10090773723350033
AMBR1_18,pH6_DO100_G10_AFR100,6.0,500,5.97028433158826,6.028567287065904,6.030025634613256,6.10019428164851,-0.02971566841173967,0.028567287065904168,0.10019428164850996,0.12990995006024963,0.10019428164850996
AMBR1_19,pH5.5_DO100_G10_AFR100,5.5,500,5.47029204810011,5.511353252371355,5.5138990840018955,5.59967527275676,-0.02970795189988973,0.01135325237135465,0.0996752727567598,0.12938322465664953,0.0996752727567598
AMBR1_21,pH7.5_DO80_G10_AFR100,7.5,500,7.46998039246901,7.5600004196167,7.5371979808797915,7.60291178442604,-0.0300196075309902,0.06000041961670011,0.10291178442604032,0.13293139195703052,0.10291178442604032
AMBR1_22,pH7.5_DO60_G10_AFR100,7.5,499,7.47032636895737,7.57269208288903,7.543073765921588,7.60000668033234,-0.029673631042630433,0.07269208288902984,0.10000668033234028,0.1296803113749707,0.10000668033234028
AMBR1_23,pH7.5_DO40_G10_AFR100,7.5,499,7.46989030176827,7.59187947290779,7.551554520791117,7.60020124814302,-0.03010969823172971,0.09187947290778986,0.10020124814302012,0.13031094637474983,0.10020124814302012
AMBR1_24,pH7.5_DO20_G10_AFR100,7.5,499,7.46917609066309,7.54699993133545,7.533958851842896,7.60402328872385,-0.030823909336909594,0.04699993133545011,0.10402328872384992,0.1348471980607595,0.10402328872384992
AMBR2_10,pH6.3_DO20_G20_AFR100,6.3,451,6.27040887053517,6.35599946975708,6.335049007259824,6.40381049886289,-0.02959112946482989,0.055999469757080256,0.10381049886288984,0.13340162832771973,0.10381049886288984
AMBR2_11,pH6.5_DO20_G4_AFR100,6.5,450,6.47064614286657,6.56545509634951,6.550005433377355,6.60348800491236,-0.029353857133430417,0.06545509634950974,0.10348800491235988,0.1328418620457903,0.10348800491235988
AMBR2_12,pH7.5_DO20_G4_AFR100,7.5,450,7.46908445742671,7.58200025558472,7.562879069257024,7.60619606151889,-0.030915542573289656,0.08200025558472035,0.10619606151889016,0.13711160409217982,0.10619606151889016
AMBR2_13,pH6.5_DO20_G7_AFR100,6.5,450,6.47051859877041,6.5959997177124,6.570584419148365,6.60008042277337,-0.029481401229589643,0.09599971771239968,0.10008042277337026,0.1295618240029599,0.10008042277337026
AMBR2_14,pH7.5_DO20_G7_AFR100,7.5,450,7.46831557514876,7.529479947386809,7.542517982085154,7.60091825194503,-0.03168442485123979,0.029479947386809258,0.10091825194503024,0.13260267679627002,0.10091825194503024
AMBR2_15,pH6.5_DO5_G10_AFR100,6.5,449,6.47033545442726,6.57454614835637,6.55324856933938,6.60093232921828,-0.02966454557274023,0.07454614835636963,0.10093232921828044,0.13059687479102067,0.10093232921828044
AMBR2_16,pH7.5_DO5_G10_AFR100,7.5,449,7.46999202178417,7.58421315479393,7.559926291257714,7.60792007047067,-0.030007978215829567,0.08421315479392977,0.1079200704706702,0.13792804868649977,0.1079200704706702
