fold_index,seed,training_time_s,inference_time_s
0,42,2098.680023190041,0.0352349770255386
1,42,2289.680905132962,0.0350942240329459
2,42,2440.6165073990123,0.0330310610006563
3,42,2506.9154700249783,0.0348759979824535
4,42,2531.0149987500045,0.0339523939765058
5,42,2568.010143176012,0.0377977230236865
6,42,2574.359210781986,0.0348721880000084
7,42,2577.814944320009,0.0362180260126479
8,42,2597.607998970023,0.034581278974656
9,42,2617.667634351994,0.0371325540472753
10,42,2601.7908253660426,0.0362594330217689
11,42,2627.540014538972,0.0352343349950388
12,42,2636.726617523993,0.0361675019958056
13,42,2644.130722642003,0.0341125939739868
14,42,2655.7869536780054,0.0361934659886173
15,42,2655.569589442981,0.0365779959829524
16,42,2778.1253862819867,0.0355659769847989
17,42,2668.554427173978,0.0352039419813081
18,42,2475.753284709004,0.0326259359717369
19,42,2126.1838191540446,0.0327817359939217
20,42,2094.193094931019,0.0316706539597362
21,42,2107.732671069971,0.0313313890364952
